Season,Week,Date,Tm_Name,Tm_Pts,Home,Opp_Name,Opp_Pts,Spread,Total
2015,1,2015-09-14,ATL,26,1,PHI,24,2.5,54.5
2015,2,2015-09-20,ATL,24,0,NYG,20,2.5,51.0
2015,3,2015-09-27,ATL,39,0,DAL,28,-1.0,43.5
2015,4,2015-10-04,ATL,48,1,HTX,21,-6.0,47.0
2015,5,2015-10-11,ATL,25,1,WAS,19,-7.0,48.0
2015,6,2015-10-15,ATL,21,0,NOR,31,-3.0,51.0
2015,7,2015-10-25,ATL,10,0,OTI,7,-6.0,47.0
2015,8,2015-11-01,ATL,20,1,TAM,23,-7.0,48.5
2015,9,2015-11-08,ATL,16,0,SFO,17,-7.5,44.0
2015,11,2015-11-22,ATL,21,1,CLT,24,-4.5,47.5
2015,12,2015-11-29,ATL,10,1,MIN,20,-2.5,45.5
2015,13,2015-12-06,ATL,19,0,TAM,23,1.0,46.0
2015,14,2015-12-13,ATL,0,0,CAR,38,7.5,46.5
2015,15,2015-12-20,ATL,23,0,JAX,17,3.0,49.0
2015,16,2015-12-27,ATL,20,1,CAR,13,6.5,47.5
2015,17,2016-01-03,ATL,17,1,NOR,20,-5.5,52.5
2015,1,2015-09-13,BUF,27,1,CLT,14,2.5,45.0
2015,2,2015-09-20,BUF,32,1,NWE,40,1.0,44.0
2015,3,2015-09-27,BUF,41,0,MIA,14,2.5,41.5
2015,4,2015-10-04,BUF,10,1,NYG,24,-5.5,45.5
2015,5,2015-10-11,BUF,14,0,OTI,13,-1.0,42.0
2015,6,2015-10-18,BUF,21,1,CIN,34,3.0,43.0
2015,7,2015-10-25,BUF,31,0,JAX,34,-4.0,41.0
2015,9,2015-11-08,BUF,33,1,MIA,17,-3.0,44.0
2015,10,2015-11-12,BUF,22,0,NYJ,17,2.5,42.5
2015,11,2015-11-23,BUF,13,0,NWE,20,7.0,48.0
2015,12,2015-11-29,BUF,22,0,KAN,30,5.5,41.5
2015,13,2015-12-06,BUF,30,1,HTX,21,-3.5,41.5
2015,14,2015-12-13,BUF,20,0,PHI,23,1.0,47.0
2015,15,2015-12-20,BUF,25,0,WAS,35,-2.5,44.0
2015,16,2015-12-27,BUF,16,1,DAL,6,-6.5,42.0
2015,17,2016-01-03,BUF,22,1,NYJ,17,3.0,42.0
2015,1,2015-09-13,CAR,20,0,JAX,9,-3.0,40.5
